solver,testcase,answer_x,time,memory,answer_y,n,cap,sumv,sumw,slv_type,eps,ratio,relative_error,size
fptas 0.1,f4_l-d_kp_4_11,22.0,212.0,8460.0,23,4,11,41,19,fptas,0.1,0.9565217391304348,0.043478260869565216,small
fptas 0.1,f6_l-d_kp_10_60,52.0,491.0,8536.0,52,10,60,105,130,fptas,0.1,1.0,0.0,small
fptas 0.1,f7_l-d_kp_7_50,107.0,275.0,8460.0,107,7,50,188,93,fptas,0.1,1.0,0.0,small
fptas 0.1,f8_l-d_kp_23_10000,9746.0,6591.0,9672.0,9767,23,10000,19309,19428,fptas,0.1,0.9978499027336951,0.0021500972663049045,small
fptas 0.1,f9_l-d_kp_5_80,128.0,257.0,8608.0,130,5,80,142,91,fptas,0.1,0.9846153846153847,0.015384615384615385,small
fptas 0.1,knapPI_14_200_1000_1,5389.0,1310902.0,409276.0,5397,200,997,142318,99618,fptas,0.1,0.9985176950157495,0.0014823049842505095,large
fptas 0.1,knapPI_1_500_1000_1,28852.0,16529924.0,4902560.0,28857,500,2543,247071,256932,fptas,0.1,0.9998267318155041,0.00017326818449596285,large
fptas 0.1,knapPI_2_500_1000_1,4562.0,16047351.0,4762812.0,4566,500,2543,258317,256932,fptas,0.1,0.9991239597021463,0.0008760402978537013,large
fptas 0.1,knapPI_3_500_1000_1,7112.0,18464562.0,5482992.0,7117,500,2517,304306,254306,fptas,0.1,0.9992974567935928,0.000702543206407194,large
bnb,f10_l-d_kp_20_879,1025.0,5318.0,10976.0,1025,20,879,1086,1098,bnb,,1.0,0.0,small
bnb,f1_l-d_kp_10_269,295.0,470.0,8872.0,295,10,269,412,539,bnb,,1.0,0.0,small
bnb,f2_l-d_kp_20_878,1024.0,7996.0,10912.0,1024,20,878,1085,1098,bnb,,1.0,0.0,small
bnb,f3_l-d_kp_4_20,35.0,183.0,8480.0,35,4,20,48,27,bnb,,1.0,0.0,small
bnb,f4_l-d_kp_4_11,23.0,212.0,8452.0,23,4,11,41,19,bnb,,1.0,0.0,small
bnb,f6_l-d_kp_10_60,52.0,1087.0,9288.0,52,10,60,105,130,bnb,,1.0,0.0,small
bnb,f7_l-d_kp_7_50,107.0,397.0,8608.0,107,7,50,188,93,bnb,,1.0,0.0,small
bnb,f8_l-d_kp_23_10000,9767.0,2509808.0,10992.0,9767,23,10000,19309,19428,bnb,,1.0,0.0,small
bnb,f9_l-d_kp_5_80,130.0,146.0,8516.0,130,5,80,142,91,bnb,,1.0,0.0,small
bnb,knapPI_14_200_1000_1,5397.0,423827.0,11104.0,5397,200,997,142318,99618,bnb,,1.0,0.0,large
bnb,knapPI_1_500_1000_1,28857.0,85960634.0,11288.0,28857,500,2543,247071,256932,bnb,,1.0,0.0,large
bnb,knapPI_2_500_1000_1,4566.0,374688.0,11248.0,4566,500,2543,258317,256932,bnb,,1.0,0.0,large
bnb,knapPI_3_500_1000_1,,,,7117,500,2517,304306,254306,bnb,,,,large
